id,time,ele
153,00:01.0,1566
153,00:00.6,1436
153,00:00.6,1332
153,00:00.6,1266
153,00:00.6,1207
153,00:01.0,1123
153,00:00.6,1129
153,00:00.6,1126
153,00:00.6,1128
153,00:00.6,1126
153,00:00.6,1124
153,00:00.6,1124
153,00:00.6,1128
153,00:00.6,1121
153,00:00.6,1117
153,00:00.6,1119
153,00:00.6,1120
153,00:00.6,1119
153,00:00.6,1116
153,00:00.6,1094
153,00:00.6,1083
153,00:00.6,1081
153,00:00.6,1078
153,00:00.6,1082
153,00:00.6,1069
153,00:00.6,1057
153,00:00.6,1037
153,00:00.6,1027
153,00:00.6,1015
153,00:00.6,1007
153,00:00.6,994
153,00:00.6,990
153,00:00.6,982
153,00:00.6,980
153,00:00.6,990
153,00:00.6,973
153,00:00.6,997
153,00:00.6,990
153,00:00.6,978
153,00:00.6,1001
153,00:00.6,1020
153,00:00.6,975
153,00:00.6,970
153,00:43.6,982
153,00:44.6,972
153,00:45.6,973
153,00:46.6,973
153,00:47.6,1005
153,00:48.6,992
153,00:49.6,994
153,00:50.6,993
153,00:51.6,994
153,00:52.6,994
153,00:53.6,992
153,00:54.6,994
153,00:55.6,995
153,00:56.6,990
153,00:57.6,1336
153,00:58.6,1240
153,00:59.6,1119
153,01:00.6,1595
153,01:01.6,1603
153,01:02.6,1605
153,01:03.6,1605
153,01:04.6,1605
153,01:05.6,1605
153,01:06.6,1606
153,01:07.6,1605
153,01:08.6,1604
153,01:09.6,1590
153,01:10.6,1587
153,01:11.6,1587
153,01:12.6,1586
153,01:13.6,1576
153,01:14.6,1469
153,01:15.6,1409
153,01:16.6,1388
153,01:17.6,1365
153,01:18.6,1321
153,01:19.6,1280
153,01:20.6,1237
153,01:21.6,1202
153,01:22.6,1169
153,01:23.6,1132
153,01:24.6,1115
153,01:25.6,1121
153,01:26.6,1110
153,01:27.6,1107
153,01:28.6,1087
153,01:29.6,1074
153,01:30.6,1065
153,01:31.6,1054
153,01:32.6,1044
153,01:33.6,1028
153,01:34.6,1015
153,01:35.6,1005
153,01:36.6,1004
153,01:37.6,996
153,01:38.6,986
153,01:39.6,974
153,01:40.6,973
153,01:41.6,975
153,01:42.6,969
153,01:43.6,968
153,01:44.6,962
153,01:45.6,964
153,01:46.6,978
153,01:47.6,974
153,01:48.6,990
153,01:49.6,986
153,01:50.6,984
153,01:51.6,985
153,01:52.6,986
153,01:53.6,988
153,01:54.6,989
153,01:55.6,989
153,01:56.6,991
153,01:57.6,996
153,01:58.6,1002
153,01:59.6,997
153,02:00.6,1000
153,02:01.6,1000
153,02:02.6,1157
153,02:03.6,986
153,02:04.6,1100
153,02:05.6,1269
153,02:06.6,1072
153,02:07.6,981
153,02:08.6,992
153,02:09.6,1538
153,02:10.6,1216
153,02:11.6,1032
153,02:12.6,1023
153,02:13.6,1019
153,02:14.6,1014
153,02:15.6,1023
153,02:16.6,1038
153,02:17.6,1060
153,02:18.6,1089
153,02:19.6,1099
153,02:20.6,1118
153,02:21.6,1144
153,02:22.6,1161
153,02:23.6,1143
153,02:24.6,1195
153,02:25.6,1155
153,02:26.6,1112
153,02:27.6,1066
153,02:28.6,1012
153,02:29.6,1007
153,02:30.6,1003
153,02:31.6,1000
153,02:32.6,997
153,02:33.7,990
153,02:34.6,981
153,02:35.6,971
153,02:36.6,971
153,02:37.6,968
153,02:38.6,966
153,02:39.6,963
153,02:40.6,972
153,02:41.6,981
153,02:42.6,971
153,02:43.6,969
153,02:44.6,965
153,02:45.6,962
153,02:46.6,957
153,02:47.6,965
153,02:48.6,985
153,02:49.6,1004
153,02:50.6,978
153,02:51.6,979
153,02:52.6,972
153,02:53.6,976
153,02:54.6,972
153,02:55.6,975
153,02:56.6,975
153,02:57.6,978
153,02:58.6,978
153,02:59.6,987
153,03:00.6,978
153,03:01.6,989
153,03:02.6,992
153,03:03.6,989
153,03:04.6,988
153,03:05.6,996
153,03:06.6,988
153,03:07.6,987
153,03:08.6,1283
153,03:09.6,989
153,03:10.6,1021
153,03:11.6,1327
153,03:12.6,1064
153,03:13.6,1384
153,03:14.6,1318
153,03:15.6,1233
153,03:16.6,1059
153,03:17.6,1015
153,03:18.6,1334
153,03:19.6,1574
153,03:20.6,1587
153,03:21.6,1544
153,03:22.6,1426
153,03:23.6,1313
153,03:24.6,1330
153,03:25.6,1399
153,03:26.6,1450
153,03:27.6,1475
153,03:28.6,1474
153,03:29.6,1468
153,03:30.6,1469
153,03:31.6,1464
153,03:32.6,1365
153,03:33.6,1130
153,03:34.6,1079
153,03:35.6,1067
153,03:36.6,1056
153,03:37.6,1050
153,03:38.6,1034
153,03:39.6,1020
153,03:40.6,1012
153,03:41.6,1004
153,03:42.6,1003
153,03:43.6,977
153,03:44.6,966
153,03:45.6,960
153,03:46.6,964
153,03:47.6,952
153,03:48.6,952
153,03:49.6,947
153,03:50.6,940
153,03:51.6,948
153,03:52.6,949
153,03:53.6,958
153,03:54.6,968
153,03:55.6,989
153,03:56.6,975
153,03:57.6,974
153,03:58.6,981
153,03:59.6,974
153,04:00.6,974
153,04:01.6,978
153,04:02.6,983
153,04:03.6,975
153,04:04.6,972
153,04:05.6,980
153,04:06.6,1003
153,04:07.6,1285
153,04:08.6,1246
153,04:09.6,1449
153,04:10.6,1599
153,04:11.6,1603
153,04:12.6,1494
153,04:13.6,1571
153,04:14.6,1552
153,04:15.6,1550
153,04:16.6,1502
153,04:17.6,1405
153,04:18.6,1250
153,04:19.6,1163
153,04:20.6,1148
153,04:21.6,1147
153,04:22.6,1142
153,04:23.6,1147
153,04:24.6,1148
153,04:25.6,1151
153,04:26.6,1150
153,04:27.6,1152
153,04:28.6,1149
153,04:29.6,1148
153,04:30.6,1133
153,04:31.6,1120
153,04:32.6,1115
153,04:33.6,1111
153,04:34.6,1108
153,04:35.6,1106
153,04:36.6,1097
153,04:37.6,1080
153,04:38.6,1075
153,04:39.6,1066
153,04:40.6,1060
153,04:41.6,1061
153,04:42.6,1052
153,04:43.6,1046
153,04:44.6,1027
153,04:45.6,1013
153,04:46.6,1007
153,04:47.6,1004
153,04:48.6,1001
153,04:49.6,994
153,04:50.6,989
153,04:51.6,984
153,04:52.6,977
153,04:53.6,978
153,04:54.6,974
153,04:55.6,970
153,04:56.6,968
153,04:57.6,966
153,04:58.6,967
153,04:59.6,980
153,05:00.6,977
153,05:01.6,989
153,05:02.6,987
153,05:03.6,992
153,05:04.6,991
153,05:05.6,992
153,05:06.6,989
153,05:07.6,990
153,05:08.6,988
153,05:09.6,987
153,05:10.6,985
153,05:11.6,983
153,05:12.6,1372
153,05:13.6,1498
153,05:14.6,1576
153,05:15.6,1601
153,05:16.6,1605
153,05:17.6,1604
153,05:18.6,1604
153,05:19.6,1604
153,05:20.6,1604
153,05:21.6,1605
153,05:22.6,1585
153,05:23.6,1542
153,05:24.6,1429
153,05:25.6,1356
153,05:26.6,1289
153,05:27.6,1246
153,05:28.6,1240
153,05:29.6,1237
153,05:30.6,1230
153,05:31.6,1227
153,05:32.6,1222
153,05:33.6,1222
153,05:34.6,1222
153,05:35.6,1224
153,05:36.6,1222
153,05:37.6,1220
153,05:38.6,1219
153,05:39.6,1217
153,05:40.6,1209
153,05:41.6,1115
153,05:42.6,1099
153,05:43.6,1089
153,05:44.6,1082
153,05:45.6,1075
153,05:46.6,1073
153,05:47.6,1067
153,05:48.6,1053
153,05:49.6,1043
153,05:50.6,1036
153,05:51.6,1028
153,05:52.6,1029
153,05:53.6,1028
153,05:54.6,1020
153,05:55.6,1019
153,05:56.6,1006
153,05:57.6,1002
153,05:58.6,1003
153,05:59.6,999
153,06:00.6,997
153,06:01.6,996
153,06:02.6,992
153,06:03.6,995
153,06:04.6,993
153,06:05.6,992
153,06:06.6,991
153,06:07.6,994
153,06:08.6,994
153,06:09.6,999
153,06:10.6,1002
153,06:11.6,1001
153,06:12.6,1001
153,06:13.6,1001
153,06:14.6,1000
153,06:15.6,1000
153,06:16.6,998
153,06:17.6,998
153,06:18.6,1000
153,06:19.6,997
153,06:20.6,997
153,06:21.6,999
153,06:22.6,1000
153,06:23.6,998
153,06:24.6,1004
153,06:25.6,1383
153,06:26.6,1519
153,06:27.6,1593
153,06:28.6,1434
153,06:29.6,1328
153,06:30.6,1600
153,06:31.6,1602
153,06:32.6,1594
153,06:33.6,1600
153,06:34.6,1602
153,06:35.6,1602
153,06:36.6,1561
153,06:37.6,1552
153,06:38.6,1540
153,06:39.6,1531
153,06:40.6,1513
153,06:41.6,1482
153,06:42.6,1451
153,06:43.6,1412
153,06:44.6,1376
153,06:45.6,1182
153,06:46.6,1118
153,06:47.6,1106
153,06:48.6,1099
153,06:49.6,1093
153,06:50.6,1081
153,06:51.6,1075
153,06:52.6,1060
153,06:53.6,1048
153,06:54.6,1036
153,06:55.8,1023
153,06:56.6,1018
153,06:57.6,1004
153,06:58.6,997
153,06:59.6,993
153,07:00.6,984
153,07:01.6,978
153,07:02.6,972
153,07:03.6,973
153,07:04.6,990
153,07:05.6,990
153,07:06.6,993
153,07:07.6,999
153,07:08.6,993
153,07:09.6,992
153,07:10.6,989
153,07:11.6,990
153,07:12.6,990
153,07:13.6,1047
153,07:14.6,1033
153,07:15.6,1042
153,07:16.6,1050
153,07:17.6,1043
153,07:18.6,1044
153,07:19.6,1043
153,07:20.6,1042
153,07:21.6,1048
153,07:22.6,1043
153,07:23.6,1047
153,07:24.6,1045
153,07:25.6,1042
153,07:26.6,1041
153,07:27.6,1041
153,07:28.6,1041
153,07:29.6,1038
153,07:30.6,1037
153,07:31.6,1035
153,07:32.6,1353
153,07:33.6,1290
153,07:34.6,1060
153,07:35.6,1441
153,07:36.6,1273
153,07:37.6,1280
153,07:38.6,1269
153,07:39.6,1148
153,07:40.6,1091
153,07:41.6,1121
153,07:42.6,1143
153,07:43.6,1167
153,07:44.6,1185
153,07:45.6,1203
153,07:46.6,1220
153,07:47.6,1229
153,07:48.6,1228
153,07:49.6,1199
153,07:50.6,1046
153,07:51.6,1040
153,07:52.6,1036
153,07:53.6,1029
153,07:54.6,1026
153,07:55.6,1020
153,07:56.6,1011
153,07:57.6,1010
153,07:58.6,1004
153,07:59.6,997
153,08:00.6,988
153,08:01.6,1012
153,08:02.6,1002
153,08:03.6,996
153,08:04.6,1231
153,08:05.6,1131
153,08:06.6,1095
153,08:07.6,1117
153,08:08.6,1038
153,08:09.6,1039
153,08:10.6,1014
153,08:11.6,1005
153,08:12.6,1003
153,08:13.6,999
153,08:14.6,998
153,08:15.6,996
153,08:16.6,995
153,08:17.6,993
153,08:18.6,995
153,08:19.6,998
153,08:20.6,1000
153,08:21.6,1000
153,08:22.6,1048
153,08:23.6,1450
153,08:24.6,1373
153,08:25.6,1590
153,08:26.6,1460
153,08:27.6,1391
153,08:28.6,1322
153,08:29.6,1257
153,08:30.6,1210
153,08:31.6,1203
153,08:32.6,1199
153,08:33.6,1179
153,08:34.6,1155
153,08:35.6,1144
153,08:36.6,1140
153,08:37.6,1138
153,08:38.6,1136
153,08:39.6,1133
153,08:40.6,1330
153,08:41.6,1474
153,08:42.6,1198
153,08:43.6,1112
153,08:44.6,1109
153,08:45.6,1105
153,08:46.6,1102
153,08:47.6,1101
153,08:48.6,1111
153,08:49.6,1092
153,08:50.6,1092
153,08:51.6,1089
153,08:52.6,1086
153,08:53.6,1083
153,08:54.6,1074
153,08:55.6,1067
153,08:56.6,1063
153,08:57.6,1060
153,08:58.6,1056
153,08:59.6,1046
153,09:00.6,1039
153,09:01.6,1036
153,09:02.6,1046
153,09:03.6,1033
153,09:04.6,1025
153,09:05.6,1024
153,09:06.6,1010
153,09:07.6,1004
153,09:08.6,993
153,09:09.6,989
153,09:10.6,987
153,09:11.6,985
153,09:12.6,979
153,09:13.6,980
153,09:14.6,984
153,09:15.6,987
153,09:16.6,983
153,09:17.7,981
153,09:18.6,985
153,09:19.6,985
153,09:20.6,983
153,09:21.6,992
153,09:22.6,995
153,09:23.6,992
153,09:24.6,996
153,09:25.6,996
153,09:26.6,1003
153,09:27.6,997
153,09:28.6,1401
153,09:29.6,1287
153,09:30.6,980
153,09:31.6,1029
153,09:32.6,1531
153,09:33.6,1552
153,09:34.6,1594
153,09:35.6,1601
153,09:36.6,1604
153,09:37.6,1603
153,09:38.6,1605
153,09:39.6,1594
153,09:40.6,1589
153,09:41.6,1584
153,09:42.6,1376
153,09:43.6,1208
153,09:44.6,1142
153,09:45.6,1213
153,09:46.6,1224
153,09:47.6,1284
153,09:48.6,1296
153,09:49.6,1305
153,09:50.6,1302
153,09:51.6,1300
153,09:52.6,1293
153,09:53.6,1286
153,09:54.6,1288
153,09:55.6,1288
153,09:56.6,1281
153,09:57.6,1276
153,09:58.6,1223
153,09:59.6,1108
153,10:00.6,1105
153,10:01.6,1095
153,10:02.6,1084
153,10:03.6,1082
153,10:04.6,1071
153,10:05.6,1060
153,10:06.6,1054
153,10:07.6,1044
153,10:08.6,1035
153,10:09.6,1029
153,10:10.6,1021
153,10:11.6,1016
153,10:12.6,1010
153,10:13.6,1006
153,10:14.6,1003
153,10:15.6,1006
153,10:16.6,1006
153,10:17.6,1003
153,10:18.6,1002
153,10:19.6,996
153,10:20.6,997
153,10:21.6,994
153,10:22.6,993
153,10:23.6,994
153,10:24.6,994
153,10:25.6,993
153,10:26.6,994
153,10:27.6,997
153,10:28.6,997
153,10:29.6,999
153,10:30.6,1001
153,10:31.6,1001
153,10:32.6,1002
153,10:33.6,1002
153,10:34.6,1001
153,10:35.6,1000
153,10:36.6,1003
153,10:37.6,1002
153,10:38.6,1000
153,10:39.6,1488
153,10:40.6,1463
153,10:41.6,1518
153,10:42.6,1600
153,10:43.6,1604
153,10:44.6,1604
153,10:45.6,1605
153,10:46.6,1564
153,10:47.6,1422
153,10:48.6,1321
153,10:49.6,1275
153,10:50.6,1279
153,10:51.6,1278
153,10:52.6,1234
153,10:53.6,1099
153,10:54.6,1089
153,10:55.6,1085
153,10:56.6,1084
153,10:57.6,1082
153,10:58.6,1079
153,10:59.6,1076
153,11:00.6,1075
153,11:01.6,1072
153,11:02.6,1068
153,11:03.6,1059
153,11:04.6,1052
153,11:05.6,1049
153,11:06.6,1047
153,11:07.6,1041
153,11:08.6,1034
153,11:09.6,1034
153,11:10.6,1030
153,11:11.6,1014
153,11:12.6,1007
153,11:13.6,1009
153,11:14.6,1006
153,11:15.6,997
153,11:16.6,1001
153,11:17.6,993
153,11:18.6,991
153,11:19.6,983
153,11:20.6,976
153,11:21.6,975
153,11:22.6,973
153,11:23.6,968
153,11:24.6,972
153,11:25.6,980
153,11:26.6,990
153,11:27.6,996
153,11:28.6,996
153,11:29.6,994
153,11:30.6,988
153,11:31.6,986
153,11:32.6,985
153,11:33.6,984
153,11:34.6,994
153,11:35.6,993
153,11:36.6,991
153,11:37.6,1017
153,11:38.6,1015
153,11:39.6,1011
153,11:40.6,1523
153,11:41.6,1143
153,11:42.6,1009
153,11:43.6,1028
153,11:44.6,1510
153,11:45.6,1284
153,11:46.6,1143
153,11:47.6,1067
153,11:48.6,1038
153,11:49.6,1046
153,11:50.6,1052
153,11:51.6,1045
153,11:52.6,1039
153,11:53.6,1036
153,11:54.6,1044
153,11:55.6,1053
153,11:56.6,1061
153,11:57.6,1068
153,11:58.6,1063
153,11:59.6,1061
153,12:00.6,1065
153,12:01.6,1075
153,12:02.6,1059
153,12:03.6,1041
153,12:04.6,1014
153,12:05.6,1004
153,12:06.6,1000
153,12:07.6,995
153,12:08.6,990
153,12:09.6,987
153,12:10.6,981
153,12:11.6,976
153,12:12.6,974
153,12:13.6,973
153,12:14.6,967
153,12:15.6,962
153,12:16.6,962
153,12:17.6,954
153,12:18.6,952
153,12:19.6,973
153,12:20.6,1009
153,12:21.6,986
153,12:22.6,974
153,12:23.6,971
153,12:24.6,974
153,12:25.6,976
153,12:26.6,974
153,12:27.6,976
153,12:28.6,981
153,12:29.6,976
153,12:30.6,979
153,12:31.6,977
153,12:32.6,988
153,12:33.6,973
153,12:34.6,983
153,12:35.6,974
153,12:36.6,1272
153,12:37.6,1308
153,12:38.6,1599
153,12:39.6,1604
153,12:40.6,1605
153,12:41.6,1605
153,12:42.6,1604
153,12:43.6,1606
153,12:44.6,1605
153,12:45.6,1604
153,12:46.6,1606
153,12:47.6,1605
153,12:48.6,1605
153,12:49.6,1605
153,12:50.6,1586
153,12:51.6,1575
153,12:52.6,1452
153,12:53.6,1285
153,12:54.6,1196
153,12:55.6,1163
153,12:56.6,1150
153,12:57.6,1146
153,12:58.6,1144
153,12:59.6,1139
153,13:00.6,1136
153,13:01.6,1134
153,13:02.6,1129
153,13:03.6,1126
153,13:04.6,1123
153,13:05.6,1119
153,13:06.6,1116
153,13:07.6,1113
153,13:08.6,1109
153,13:09.6,1107
153,13:10.6,1107
153,13:11.6,1096
153,13:12.6,1081
153,13:13.6,1071
153,13:14.6,1063
153,13:15.6,1059
153,13:16.6,1052
153,13:17.6,1042
153,13:18.6,1030
153,13:19.6,1021
153,13:20.6,1026
153,13:21.6,1017
153,13:22.6,1007
153,13:23.6,997
153,13:24.6,1007
153,13:25.6,1038
153,13:26.6,1039
153,13:27.6,998
153,13:28.6,1018
153,13:29.6,1013
153,13:30.6,1038
153,13:31.6,1031
153,13:32.6,1036
153,13:33.6,1034
153,13:34.6,1028
153,13:35.6,1019
153,13:36.6,1030
153,13:37.6,1026
153,13:38.6,1044
153,13:39.6,1030
153,13:40.6,1181
153,13:41.6,1356
153,13:42.6,1581
153,13:43.6,1601
153,13:44.6,1605
153,13:45.6,1603
153,13:46.6,1603
153,13:47.6,1603
153,13:48.6,1603
153,13:49.6,1603
153,13:50.6,1603
153,13:51.6,1604
153,13:52.6,1603
153,13:53.6,1603
153,13:54.6,1575
153,13:55.6,1410
153,13:56.6,1301
153,13:57.6,1240
153,13:58.6,1199
153,13:59.6,1160
153,14:00.6,1079
153,14:01.6,1067
153,14:02.6,1065
153,14:03.6,1067
153,14:04.6,1068
153,14:05.6,1069
153,14:06.6,1072
153,14:07.6,1071
153,14:08.6,1071
153,14:09.6,1070
153,14:10.6,1071
153,14:11.6,1071
153,14:12.6,1072
153,14:13.6,1071
153,14:14.6,1070
153,14:15.6,1069
153,14:16.6,1059
153,14:17.6,1058
153,14:18.6,1054
153,14:19.6,1050
153,14:20.6,1042
153,14:21.6,1036
153,14:22.6,1031
153,14:23.6,1029
153,14:24.6,1027
153,14:25.6,1018
153,14:26.6,1013
153,14:27.6,1001
153,14:28.6,999
153,14:29.6,998
153,14:30.6,990
153,14:31.6,981
153,14:32.6,979
153,14:33.6,974
153,14:34.6,974
153,14:35.6,988
153,14:36.6,967
153,14:37.6,963
153,14:38.6,964
153,14:39.6,966
153,14:40.6,973
153,14:41.6,972
153,14:42.6,963
153,14:43.6,964
153,14:44.6,968
153,14:45.6,971
153,14:46.6,974
153,14:47.6,975
153,14:48.6,974
153,14:49.6,974
153,14:50.6,973
153,14:51.6,973
153,14:52.6,976
153,14:53.6,975
153,14:54.6,974
153,14:55.6,976
153,14:56.6,978
153,14:57.6,980
153,14:58.6,1239
153,14:59.6,1443
153,15:00.6,1253
153,15:01.6,1345
153,15:02.6,1599
153,15:03.6,1604
153,15:04.6,1532
153,15:05.6,1514
153,15:06.8,1440
153,15:07.6,1485
153,15:08.6,1539
153,15:09.6,1432
153,15:10.6,1235
153,15:11.6,1143
153,15:12.6,1133
153,15:13.6,1128
153,15:14.6,1127
153,15:15.6,1125
153,15:16.6,1123
153,15:17.6,1122
153,15:18.6,1120
153,15:19.6,1116
153,15:20.6,1105
153,15:21.6,1092
153,15:22.6,1086
153,15:23.6,1080
153,15:24.6,1073
153,15:25.6,1068
153,15:26.6,1056
153,15:27.6,1055
153,15:28.6,1047
153,15:29.6,1043
153,15:30.6,1028
153,15:31.6,1016
153,15:32.6,1005
153,15:33.6,997
153,15:34.6,991
153,15:35.6,1030
153,15:36.6,997
153,15:37.6,1015
153,15:38.6,1020
153,15:39.6,1028
153,15:40.6,1018
153,15:41.6,1015
153,15:42.6,1022
153,15:43.6,1018
153,15:44.6,1036
153,15:45.6,1020
153,15:46.6,1061
153,15:47.6,1028
153,15:48.6,1035
153,15:49.6,1040
153,15:50.6,1023
153,15:51.6,1050
153,15:52.6,1039
153,15:53.6,1221
153,15:54.6,1256
153,15:55.6,1143
153,15:56.6,994
153,15:57.6,1251
153,15:58.6,1547
153,15:59.6,1593
153,16:00.6,1604
153,16:01.6,1606
153,16:02.6,1604
153,16:03.6,1603
153,16:04.6,1604
153,16:05.6,1604
153,16:06.6,1603
153,16:07.6,1587
153,16:08.6,1544
153,16:09.6,1462
153,16:10.6,1458
153,16:11.6,1456
153,16:12.6,1460
153,16:13.6,1460
153,16:14.6,1457
153,16:15.6,1410
153,16:16.6,1357
153,16:17.6,1329
153,16:18.6,1296
153,16:19.6,1263
153,16:20.6,1231
153,16:21.6,1219
153,16:22.6,1212
153,16:23.6,1208
153,16:24.6,1200
153,16:25.6,1168
153,16:26.6,1155
153,16:27.6,1146
153,16:28.6,1139
153,16:29.6,1136
153,16:30.6,1117
153,16:31.6,1102
153,16:32.6,1089
153,16:33.6,1084
153,16:34.6,1080
153,16:35.6,1064
153,16:36.6,1043
153,16:37.9,1031
153,16:38.6,1027
153,16:39.6,1018
153,16:40.6,997
153,16:41.6,1026
153,16:42.6,994
153,16:43.6,1019
153,16:44.6,1022
153,16:45.6,1000
153,16:46.6,1020
153,16:47.6,1012
153,16:48.6,1015
153,16:49.6,1010
153,16:50.6,1012
153,16:51.6,1010
153,16:52.6,1013
153,16:53.6,1018
153,16:54.6,1010
153,16:55.6,1013
153,16:56.6,1008
153,16:57.6,1013
153,16:58.6,1014
153,16:59.6,1017
153,17:00.6,1015
153,17:01.6,1021
153,17:02.6,1344
153,17:03.6,1356
153,17:04.6,1444
153,17:05.6,1599
153,17:06.6,1603
153,17:07.6,1604
153,17:08.6,1603
153,17:09.6,1603
153,17:10.6,1603
153,17:11.6,1604
153,17:12.6,1603
153,17:13.6,1583
153,17:14.6,1485
153,17:15.6,1490
153,17:16.6,1507
153,17:17.6,1498
153,17:18.6,1494
153,17:19.6,1485
153,17:20.6,1479
153,17:21.6,1473
153,17:22.6,1467
153,17:23.6,1463
153,17:24.6,1330
153,17:25.6,1191
153,17:26.6,1158
153,17:27.6,1152
153,17:28.6,1151
153,17:29.6,1134
153,17:30.6,1116
153,17:31.6,1109
153,17:32.6,1109
153,17:33.6,1102
153,17:34.6,1091
153,17:35.6,1080
153,17:36.6,1073
153,17:37.6,1062
153,17:38.6,1044
153,17:39.6,1033
153,17:40.6,1022
153,17:41.6,1009
153,17:42.7,1000
153,17:43.6,997
153,17:44.6,996
153,17:45.6,991
153,17:46.6,986
153,17:47.6,989
153,17:48.6,985
153,17:49.6,987
153,17:50.6,988
153,17:51.6,1005
153,17:52.6,1001
153,17:53.6,999
153,17:54.6,999
153,17:55.6,1012
153,17:56.6,1011
153,17:57.6,1002
153,17:58.6,999
153,17:59.6,1001
153,18:00.6,1019
153,18:01.6,1019
153,18:02.6,1024
153,18:03.6,1025
153,18:04.6,1032
153,18:05.6,1032
153,18:06.6,1032
153,18:07.6,1030
153,18:08.6,1028
153,18:09.6,1031
153,18:10.6,1193
153,18:11.6,1490
153,18:12.6,1449
153,18:13.6,1371
153,18:14.6,1600
153,18:15.6,1602
153,18:16.6,1603
153,18:17.6,1479
153,18:18.6,1415
153,18:19.6,1359
153,18:20.6,1375
153,18:21.6,1411
153,18:22.6,1449
153,18:23.6,1457
153,18:24.6,1314
153,18:25.6,1249
153,18:26.6,1214
153,18:27.6,1189
153,18:28.6,1135
153,18:29.6,1110
153,18:30.6,1106
153,18:31.6,1103
153,18:32.6,1101
153,18:33.6,1098
153,18:34.6,1087
153,18:35.6,1085
153,18:36.6,1078
153,18:37.6,1071
153,18:38.6,1064
153,18:39.6,1052
153,18:40.6,1042
153,18:41.6,1035
153,18:42.6,1027
153,18:43.6,1031
153,18:44.6,1011
153,18:45.6,1007
153,18:46.6,1002
153,18:47.6,999
153,18:48.6,989
153,18:49.6,985
153,18:50.6,985
153,18:51.6,983
153,18:52.6,987
153,18:53.6,1017
153,18:54.6,1038
153,18:55.6,1012
153,18:56.6,1013
153,18:57.6,1008
153,18:58.6,1032
153,18:59.6,1021
153,19:00.6,1023
153,19:01.6,1023
153,19:02.6,1030
153,19:03.6,1031
153,19:04.6,1032
153,19:05.6,1029
153,19:06.6,1027
153,19:07.6,1239
153,19:08.6,1088
153,19:09.6,1077
153,19:10.6,1191
153,19:11.6,1117
153,19:12.6,1017
153,19:13.6,1188
153,19:14.6,1553
153,19:15.6,1278
153,19:16.6,1204
153,19:17.6,1573
153,19:18.6,1556
153,19:19.6,1410
153,19:20.6,1298
153,19:21.6,1246
153,19:22.6,1218
153,19:23.6,1225
153,19:24.6,1251
153,19:25.6,1276
153,19:26.6,1300
153,19:27.6,1321
153,19:28.6,1310
153,19:29.6,1293
153,19:30.6,1269
153,19:31.6,1209
153,19:32.6,1121
153,19:33.6,1088
153,19:34.6,1250
153,19:35.6,1104
153,19:36.6,1087
153,19:37.6,1080
153,19:38.6,1069
153,19:39.6,1061
153,19:40.6,1055
153,19:41.6,1049
153,19:42.6,1038
153,19:43.6,1036
153,19:44.6,1030
153,19:45.6,1024
153,19:46.6,1022
153,19:47.6,1031
153,19:48.6,1029
153,19:49.9,1021
153,19:50.6,1020
153,19:51.6,1012
153,19:52.6,1006
153,19:53.8,1003
153,19:54.6,1008
153,19:55.6,1022
153,19:56.6,1056
153,19:57.6,1027
153,19:58.6,1028
153,19:59.6,1021
153,20:00.6,1038
